from,to,relation
hpr,ad,3
hpr,fh,2
hpr,mf,2
hpr,me,2
hpr,cw,2
hpr,rhl,2
hpr,rvp,2
hpr,pg,2
hpr,mvh,2
hpr,mr,2
hpr,pw,2
hpr,rr,2
hpr,bmw,2
fh,gas,6
mf,db,3
mf,plz,6
mf,qd,3
mf,mr,5
me,mil,3
me,ksk,3
me,rvp,3
me,art,3
me,mvh,2
me,qd,3
cw,afd,3
cw,dl,6
cw,qd,3
cw,vpn,3
rhl,pol,6
rhl,afd,3
rvp,mil,3
rvp,ksk,3
rvp,vp,3
rvp,me,3
rvp,mvh,2
rvp,pw,1
rvp,qd,3
pg,re,6
pg,qd,3
mvh,mil,6
mvh,qd,3
mvh,me,2
mvh,rvp,2
mvh,ksk,3
mvh,at,3
mr,med,6
mr,mf,5
pw,rvp,1
pw,at,3
pw,mil,3
rr,unt,6
rr,qd,3
bmw,pol,3
bmw,re,3
bmw,afd,3
bmw,qd,3
